# Time-averaged data for fix CPR
# TimeStep c_VIR[1] c_VIR[2] c_VIR[3] c_VIR[4] c_VIR[5] c_VIR[6]
126 -120.226 -128.126 -222.032 -27.0151 19.7129 -27.5781
127 -120.077 -128.434 -221.163 -26.5428 19.6092 -26.3953
128 -119.886 -128.742 -220.276 -26.0335 19.5182 -25.2279
129 -119.696 -129.048 -219.395 -25.5158 19.4234 -24.0629
130 -119.518 -129.378 -218.494 -24.9797 19.3136 -22.887
131 -119.332 -129.741 -217.601 -24.439 19.2411 -21.7246
132 -119.147 -130.119 -216.683 -23.874 19.1629 -20.5747
133 -118.971 -130.47 -215.777 -23.2757 19.0864 -19.4362
134 -118.795 -130.868 -214.883 -22.6934 19.0069 -18.3046
135 -118.62 -131.26 -213.973 -22.0865 18.9413 -17.1776
136 -118.46 -131.701 -213.074 -21.4744 18.8984 -16.0639
137 -118.314 -132.112 -212.142 -20.8431 18.8575 -14.9616
138 -118.186 -132.531 -211.255 -20.1786 18.8155 -13.8673
139 -118.061 -133.002 -210.384 -19.5139 18.7598 -12.7726
140 -117.946 -133.482 -209.487 -18.8163 18.72 -11.72
141 -117.858 -133.966 -208.604 -18.1284 18.685 -10.6731
142 -117.785 -134.454 -207.71 -17.4066 18.656 -9.64282
143 -117.769 -134.98 -206.865 -16.6971 18.6642 -8.60344
144 -117.731 -135.552 -205.996 -15.9625 18.6477 -7.58825
145 -117.715 -136.103 -205.143 -15.2206 18.6281 -6.58079
146 -117.728 -136.725 -204.308 -14.4904 18.6181 -5.58362
147 -117.731 -137.34 -203.46 -13.7213 18.6171 -4.61861
148 -117.779 -137.958 -202.616 -12.9525 18.6267 -3.65138
149 -117.833 -138.613 -201.806 -12.162 18.6377 -2.70627
150 -117.922 -139.269 -201.006 -11.3528 18.6524 -1.78507
151 -118.007 -139.951 -200.203 -10.5337 18.6527 -0.871631
152 -118.14 -140.65 -199.428 -9.70594 18.6696 0.0322821
153 -118.312 -141.362 -198.675 -8.8939 18.6801 0.91167
154 -118.515 -142.127 -197.905 -8.05727 18.6954 1.78407
155 -118.718 -142.881 -197.163 -7.21184 18.7201 2.61812
156 -118.977 -143.69 -196.483 -6.3593 18.7339 3.44507
157 -119.247 -144.504 -195.787 -5.49443 18.7421 4.2315
158 -119.545 -145.354 -195.111 -4.61712 18.7441 5.02881
159 -119.88 -146.192 -194.465 -3.74182 18.7542 5.8101
160 -120.237 -147.055 -193.829 -2.85293 18.7805 6.54324
161 -120.654 -147.944 -193.207 -1.97515 18.8021 7.25677
162 -121.113 -148.862 -192.625 -1.08036 18.8069 7.96296
163 -121.618 -149.823 -192.078 -0.187268 18.7992 8.64967
164 -122.128 -150.796 -191.504 0.718046 18.8002 9.32445
165 -122.692 -151.795 -190.985 1.61931 18.8205 9.976
166 -123.302 -152.827 -190.517 2.51848 18.824 10.6062
167 -123.962 -153.887 -190.068 3.43065 18.8215 11.2039
168 -124.644 -154.946 -189.59 4.34314 18.8231 11.8008
169 -125.37 -156.058 -189.189 5.2337 18.8002 12.3641
170 -126.168 -157.158 -188.797 6.12738 18.7835 12.9189
171 -126.952 -158.287 -188.387 7.03559 18.7662 13.4622
172 -127.775 -159.398 -188.007 7.93823 18.7478 13.978
173 -128.664 -160.576 -187.677 8.83727 18.7194 14.4635
174 -129.618 -161.785 -187.384 9.73176 18.6765 14.9293
175 -130.575 -163.022 -187.111 10.6196 18.6312 15.3756
176 -131.594 -164.27 -186.859 11.5068 18.5804 15.8068
177 -132.68 -165.555 -186.646 12.3879 18.534 16.2152
178 -133.766 -166.863 -186.43 13.2609 18.4871 16.6135
179 -134.909 -168.182 -186.259 14.1258 18.4225 16.9709
180 -136.084 -169.535 -186.094 15.0028 18.3345 17.3349
181 -137.332 -170.919 -185.988 15.8712 18.245 17.6719
182 -138.606 -172.292 -185.909 16.7264 18.1367 17.9754
183 -139.917 -173.68 -185.847 17.5786 18.0233 18.2601
184 -141.288 -175.109 -185.785 18.4026 17.897 18.5327
185 -142.73 -176.548 -185.782 19.216 17.769 18.7826
186 -144.173 -178.001 -185.813 20.0389 17.6567 19.0207
187 -145.647 -179.482 -185.851 20.8498 17.5007 19.2252
188 -147.159 -180.984 -185.938 21.6361 17.3497 19.4244
189 -148.698 -182.495 -186.055 22.419 17.1673 19.6048
190 -150.326 -184.012 -186.193 23.1769 16.9949 19.7647
191 -151.954 -185.599 -186.395 23.935 16.8205 19.9082
192 -153.626 -187.182 -186.597 24.6798 16.618 20.0304
193 -155.33 -188.747 -186.815 25.398 16.4065 20.135
194 -157.089 -190.371 -187.111 26.1198 16.1695 20.2264
195 -158.888 -192.012 -187.418 26.808 15.9339 20.3015
196 -160.714 -193.634 -187.74 27.4836 15.679 20.3551
197 -162.533 -195.279 -188.069 28.1504 15.4168 20.3963
198 -164.415 -196.958 -188.445 28.786 15.1231 20.4092
199 -166.292 -198.617 -188.836 29.4028 14.8562 20.4213
200 -168.208 -200.317 -189.275 30.0184 14.5482 20.4095
201 -170.185 -202.012 -189.726 30.6037 14.2165 20.3797
202 -172.17 -203.735 -190.204 31.1928 13.8918 20.3292
203 -174.205 -205.477 -190.707 31.7584 13.5465 20.2566
204 -176.244 -207.216 -191.219 32.3036 13.1812 20.1748
205 -178.303 -208.98 -191.804 32.8223 12.8132 20.0696
206 -180.374 -210.725 -192.36 33.3211 12.4402 19.9179
207 -182.464 -212.481 -192.97 33.811 12.0457 19.7898
208 -184.577 -214.237 -193.619 34.2899 11.63 19.6228
209 -186.695 -215.999 -194.285 34.7321 11.2072 19.4502
210 -188.825 -217.793 -195.005 35.1518 10.7733 19.2409
211 -190.998 -219.564 -195.729 35.5584 10.3281 19.022
212 -193.184 -221.346 -196.481 35.9417 9.84675 18.7738
213 -195.379 -223.113 -197.289 36.2843 9.37873 18.5419
214 -197.53 -224.889 -198.065 36.6404 8.86945 18.2929
215 -199.725 -226.679 -198.878 36.9468 8.3667 18.022
216 -201.885 -228.467 -199.721 37.2532 7.85173 17.7344
217 -204.099 -230.276 -200.609 37.5357 7.31656 17.4405
218 -206.323 -232.085 -201.503 37.7813 6.76968 17.1271
219 -208.539 -233.822 -202.419 38.0276 6.21991 16.7746
220 -210.743 -235.585 -203.364 38.2551 5.65033 16.4356
221 -212.889 -237.382 -204.32 38.4547 5.06472 16.0597
222 -215.106 -239.192 -205.301 38.6315 4.45364 15.6767
223 -217.308 -240.968 -206.323 38.7785 3.84257 15.2832
224 -219.499 -242.732 -207.358 38.9037 3.23092 14.8766
225 -221.684 -244.505 -208.399 39.0145 2.60132 14.4481
226 -223.871 -246.242 -209.457 39.0989 1.97116 14.0072
227 -226.049 -248.011 -210.536 39.1689 1.29763 13.5447
228 -228.254 -249.772 -211.668 39.2222 0.639565 13.0774
229 -230.395 -251.517 -212.804 39.232 -0.048592 12.5966
230 -232.528 -253.231 -213.931 39.2361 -0.732586 12.0933
231 -234.628 -254.957 -215.092 39.2208 -1.43696 11.6025
232 -236.698 -256.666 -216.278 39.2017 -2.13808 11.0834
233 -238.771 -258.371 -217.45 39.1563 -2.84339 10.5651
234 -240.834 -260.092 -218.681 39.0755 -3.56322 10.0119
235 -242.862 -261.74 -219.886 38.9933 -4.30586 9.46896
236 -244.887 -263.426 -221.136 38.8887 -5.05048 8.90385
237 -246.885 -265.063 -222.374 38.7604 -5.79939 8.31984
238 -248.861 -266.689 -223.627 38.6296 -6.56933 7.73122
239 -250.807 -268.301 -224.882 38.4662 -7.34073 7.1245
240 -252.749 -269.925 -226.145 38.2795 -8.12002 6.53558
241 -254.665 -271.493 -227.443 38.0683 -8.8978 5.93274
242 -256.537 -273.072 -228.732 37.8582 -9.68032 5.31185
243 -258.371 -274.57 -230.007 37.6156 -10.4659 4.69996
244 -260.189 -276.076 -231.304 37.3651 -11.2805 4.07745
245 -261.972 -277.59 -232.569 37.1034 -12.0875 3.45318
246 -263.744 -279.069 -233.869 36.8494 -12.8905 2.82212
247 -265.452 -280.517 -235.138 36.5533 -13.7028 2.18521
248 -267.099 -281.931 -236.394 36.2417 -14.5285 1.55522
249 -268.742 -283.337 -237.673 35.905 -15.3323 0.925937
250 -270.304 -284.732 -238.91 35.5477 -16.1591 0.285153
251 -271.889 -286.115 -240.174 35.189 -16.9751 -0.374755
252 -273.442 -287.409 -241.439 34.8468 -17.7857 -1.02329
253 -274.984 -288.718 -242.703 34.4803 -18.5975 -1.65571
254 -276.474 -289.986 -243.965 34.0702 -19.4156 -2.28417
255 -277.905 -291.241 -245.215 33.6625 -20.239 -2.93682
256 -279.298 -292.482 -246.469 33.2243 -21.0664 -3.55356
257 -280.666 -293.643 -247.677 32.794 -21.8749 -4.18403
258 -282.001 -294.8 -248.857 32.3459 -22.6753 -4.80591
259 -283.336 -295.955 -250.072 31.8894 -23.4903 -5.41329
260 -284.577 -297.049 -251.219 31.4296 -24.3107 -6.0107
261 -285.82 -298.082 -252.346 30.9496 -25.1099 -6.62198
262 -287.008 -299.123 -253.461 30.4437 -25.9206 -7.21786
263 -288.156 -300.098 -254.577 29.9331 -26.7424 -7.79286
264 -289.244 -301.039 -255.664 29.4146 -27.5383 -8.35864
265 -290.285 -301.93 -256.729 28.869 -28.3271 -8.92583
266 -291.311 -302.793 -257.749 28.3456 -29.1204 -9.49514
267 -292.352 -303.65 -258.765 27.8059 -29.8872 -10.0423
268 -293.3 -304.437 -259.739 27.2674 -30.6613 -10.5621
269 -294.221 -305.201 -260.722 26.706 -31.4284 -11.0793
270 -295.111 -305.977 -261.652 26.1185 -32.2034 -11.5737
271 -295.956 -306.673 -262.559 25.539 -32.9623 -12.0625
272 -296.766 -307.308 -263.436 24.9503 -33.703 -12.5262
273 -297.525 -307.936 -264.294 24.3714 -34.4563 -12.9834
274 -298.268 -308.517 -265.106 23.772 -35.182 -13.4257
275 -298.975 -309.073 -265.893 23.174 -35.9123 -13.8467
